"Name","FullName","Hash","SizeBytes","ModifiedUTC"
"ws.js.map","C:\Users\chell\Documents\Sallie_Sovereign\_staging\incoming\node_modules\uri-js\dist\esnext\schemes\ws.js.map","8E167F6149A6063535F048410BC38A51FDC5AA50CA38AEC59618570AA8742CBA","1610","2025-08-31T12:13:10.9332052Z"
"ws.js.map","C:\Users\chell\Documents\Sallie_Sovereign\_staging\incoming\node_modules\openai\beta\realtime\ws.js.map","09359F32937BC9B5302C35FC86548B0B4523AD4466D70CDE118CC970087AD6A6","2713","2025-08-31T11:41:16.6690602Z"
"ws.js","C:\Users\chell\Documents\Sallie_Sovereign\_staging\incoming\node_modules\uri-js\dist\esnext\schemes\ws.js","136CFCFAC51399A4163D6825D22E36F9BE1BF2B35942FD884055D700EEE896F0","1699","2025-08-31T12:13:10.9332052Z"
"ws.js","C:\Users\chell\Documents\Sallie_Sovereign\_staging\incoming\node_modules\openai\beta\realtime\ws.js","8BD8ED29E54CD480C8014FA48B172027E593F98043B5E6104D30EACC3215607A","3128","2025-08-31T11:41:16.6680552Z"
"ws.d.ts","C:\Users\chell\Documents\Sallie_Sovereign\_staging\incoming\node_modules\uri-js\dist\esnext\schemes\ws.d.ts","CDD7359765232210F3CE5CD875776083CAF8E28DEB4C58D7B439B5446BDF3336","235","2025-08-31T12:13:10.9314550Z"
"ws.d.ts","C:\Users\chell\Documents\Sallie_Sovereign\_staging\incoming\node_modules\openai\beta\realtime\ws.d.ts","26A5DA86CD08C9EE1BA9A14612A74305DE4A82EBE2365E66E83DBAF64CF00062","913","2025-08-31T11:41:16.6639694Z"
"workspace.xml","C:\Users\chell\Documents\Sallie_Sovereign\_staging\incoming\.idea\workspace.xml","BE43E21664ED292420C02910239B48926493E36876655541769A4E808494C89E","3802","2025-08-31T11:49:57.8250087Z"
"workspace.xml","C:\Users\chell\Documents\Sallie_Sovereign\_staging\incoming\core\.idea\workspace.xml","D42D9BBA97D24762A4AF676BBEBEC9F9A2EA87B33F397816846C305016BBE42F","9297","2025-08-20T01:57:54.4092076Z"
"workspace.xml","C:\Users\chell\Documents\Sallie_Sovereign\_staging\incoming\ai\.idea\workspace.xml","7706A0D5D83A106AF4B6356E27F42EFB6D44B5AFEF0120954151CF51ED1C6F70","3196","2025-08-19T19:12:11.5672741Z"
"workers.d.ts","C:\Users\chell\Documents\Sallie_Sovereign\_staging\incoming\node_modules\vitest\workers.d.ts","BAF4A435FDC55F048F845FE93D1E035A66EF0000E8DF592EDD9AA6753CD65510","35","2025-08-31T11:41:19.8251651Z"
"workers.d.ts","C:\Users\chell\Documents\Sallie_Sovereign\_staging\incoming\node_modules\vitest\dist\workers.d.ts","79CC56F03798CDD061C23D4282C03CF99D156655BFD54F70105049B483860496","1955","2025-08-31T11:41:19.7736011Z"
"worker.js","C:\Users\chell\Documents\Sallie_Sovereign\_staging\incoming\node_modules\eslint\lib\eslint\worker.js","4C654AC15A68B8D8C23A6F542A6C899D28C6ED06ACFDCDF645C1DB1BCABC3E3D","5319","2025-08-31T12:13:09.9265641Z"
"worker.js","C:\Users\chell\Documents\Sallie_Sovereign\_staging\incoming\node_modules\vitest\dist\worker.js","6D5878A9D1AEDCA668821AA9B2A244503FB69E0B75C669B7406A5E6F1108F25D","5698","2025-08-31T11:41:19.7705996Z"
